team,rating
ESP,2165.0
ARG,2113.0
FRA,2081.0
ENG,2020.0
BRA,1984.0
POR,1984.0
COL,1975.0
NED,1961.0
ECU,1933.0
CRO,1930.0
GER,1923.0
NOR,1912.0
JPN,1904.0
TUR,1902.0
URU,1892.0
SUI,1889.0
SEN,1878.0
BEL,1867.0
MEX,1860.0
PAR,1833.0
AUT,1827.0
MAR,1822.0
CAN,1784.0
AUS,1783.0
SCO,1767.0
IRN,1760.0
KOR,1752.0
ALG,1743.0
PAN,1737.0
UZB,1727.0
CZE,1726.0
USA,1721.0
SWE,1719.0
JOR,1690.0
EGY,1689.0
CIV,1676.0
COD,1655.0
TUN,1636.0
IRQ,1607.0
BIH,1594.0
NZL,1585.0
KSA,1568.0
CPV,1549.0
HTI,1532.0
RSA,1524.0
GHA,1503.0
CUW,1436.0
QAT,1425.0
